question,answer,id
Do the provisions of the aforementioned section apply to attempts to commit the offence?,"Yes, the provisions of this section apply to the abetment of, or attempt to commit, an offence as they apply to the offence.",
What does the provision of the section apply to apart from the offence itself?,"The provisions of this section apply to the abetment of, or attempt to commit, an offence.",
Under which section of the Indian Penal Code is an offence punishable if the persons are in a marital relationship?,Section 376B of the Indian Penal Code (45 of 1860),
Which offence punishable under the Indian Penal Code applies to persons in a marital relationship?,The offence punishable under Section 376B of the Indian Penal Code (45 of 1860) applies to persons in a marital relationship.,
What condition needs to be met for the prosecution of an offence under section 376B of the Indian Penal Code?,A complaint must be filed or made by the wife against the husband.,
Who must file or make a complaint for the prosecution of an offence under section 376B of the Indian Penal Code?,The wife must file or make a complaint against the husband.,
Which chapter of the Indian Penal Code pertains to the prosecution for defamation?,Chapter XXI of the Indian Penal Code (45 of 1860),
What does Chapter XXI of the Indian Penal Code (45 of 1860) pertain to?,Prosecution for defamation,
Under what circumstances can a case for defamation be taken cognizance of by a court?,Upon a complaint made by some person aggrieved by the offence.,
Who should make a complaint for a court to take cognizance of a defamation case?,Some person aggrieved by the offence.,
"Who can file a complaint in case of defamation if the aggrieved person is under eighteen years, an idiot, a lunatic, unable from sickness or infirmity to make a complaint, or is a woman who, according to local customs, is unable to do so?",The law does not specify who can file the complaint on their behalf.,
"Does the law specify who can file a complaint on behalf of a person who is under eighteen years, an idiot, a lunatic, unable from sickness or infirmity to make a complaint, or is a woman who, according to local customs, is unable to do so in case of defamation?","No, the law does not specify who can file the complaint on their behalf.",
"Who can make a complaint on behalf of a person who, due to age or infirmity, cannot appear in public?","Some other person may, with the leave of the Court, make a complaint on his or her behalf.",
Who needs the leave of the Court to make a complaint on behalf of a person who cannot appear in public due to age or infirmity?,Some other person may need the leave of the Court to make the complaint.,
Can a Court of Session take cognizance of an offence alleged to have been committed against a public servant?,"Yes, a Court of Session may take cognizance of such offence, upon a complaint in writing made by the Public Prosecutor.",
How can a Court of Session take cognizance of an offence alleged to have been committed against a public servant?,"A Court of Session can take cognizance of such offence, upon a complaint in writing made by the Public Prosecutor.",
What should every complaint referred to in sub-section (2) set forth?,Every complaint referred to in sub-section (2) shall set forth the facts which constitute the offence.,
What does every complaint referred to in sub-section (2) set forth?,The facts which constitute the offence.,
Against whom can an offence falling under Chapter XXI of the Indian Penal Code be committed?,"The offence can be committed against a person who, at the time of such commission, is the President of India, the Vice-President of India, the Governor of a State, the Administrator of a Union territory or a Minister of the Union or of a State or of a Union territory, or any other public servant employed in connection with the affairs of the Union or of a State.",
Who is a person against whom an offence falling under Chapter XXI of the Indian Penal Code can be committed?,"An offence can be committed against a person who, at the time of such commission, is the President of India, the Vice-President of India, the Governor of a State, the Administrator of a Union territory or a Minister of the Union or of a State or of a Union territory, or any other public servant employed in connection with the affairs of the Union or of a State.",
Who can make a complaint under sub-section (2)?,"The Public Prosecutor can make a complaint under sub-section (2), except with the previous sanction of the State Government or the Central Government.",
Who needs the previous sanction of the State Government or the Central Government to make a complaint under sub-section (2)?,The Public Prosecutor needs the previous sanction of the State Government or the Central Government to make a complaint under sub-section (2).,
Under what conditions can the Public Prosecutor file a complaint?,"The Public Prosecutor can file a complaint with the previous sanction of the State Government, in the case of a person who is or has been the Governor of that State or a Minister of that Government, of the State Government, in the case of any other public servant employed in connection with the affairs of the State, of the Central Government, in any other case.",
"Who is the Public Prosecutor authorized to file a complaint against, and under what circumstances?","The Public Prosecutor can file a complaint against a person who is or has been the Governor of that State or a Minister of that Government, with the previous sanction of the State Government. In the case of any other public servant employed in connection with the affairs of the State, the sanction of the State Government is required. For any other case, the sanction of the Central Government is required.",
What is the time limit for a Court of Session to take cognizance of an offence under sub-section (2)?,A Court of Session cannot take cognizance of an offence under sub-section (2) unless the complaint is made within six months from the date on which the offence is alleged to have been committed.,
When should a complaint be made for a Court of Session to take cognizance of an offence under sub-section (2)?,A complaint should be made within six months from the date on which the offence is alleged to have been committed for a Court of Session to take cognizance of an offence under sub-section (2).,
Who has the right to make a complaint in respect of the alleged offence?,The person against whom the offence is alleged to have been committed has the right to make a complaint in respect of that offence before a Magistrate.,
Who has the right to lodge a complaint before a Magistrate in the case of an alleged offence?,The person against whom the offence is alleged to have been committed has the right to lodge a complaint before a Magistrate.,
What should a Magistrate do when taking cognizance of an offence on complaint?,"The Magistrate should examine the complainant and any present witnesses under oath. The substance of this examination should be reduced to writing and signed by the complainant, the witnesses, and the Magistrate.",
What is the procedure for a Magistrate when examining a complainant and witnesses in an offence complaint case?,"The Magistrate should examine the complainant and any present witnesses under oath. The substance of this examination should be reduced to writing and signed by the complainant, the witnesses, and the Magistrate.",
What are the exceptions for a Magistrate not needing to examine the complainant and witnesses when a complaint is made in writing?,"The Magistrate need not examine the complainant and the witnesses if a public servant acting or purporting to act in the discharge of his official duties or a Court has made the complaint, or if the Magistrate makes over the case for inquiry or trial to another Magistrate under section 192.",
Under what circumstances does a Magistrate have the discretion not to examine the complainant and witnesses when a complaint is lodged in writing?,"The Magistrate can choose not to examine the complainant and the witnesses if the complaint is made by a public servant acting or purporting to act in the discharge of his official duties, a Court, or if the Magistrate transfers the case for inquiry or trial to another Magistrate under section 192.",
"If a Magistrate makes over the case to another Magistrate under section 192 after examining the complainant and witnesses, does the latter Magistrate need to re-examine them?","No, the latter Magistrate does not need to re-examine the complainant and the witnesses.",
Does the Magistrate who takes over a case under section 192 after the complainant and witnesses have been examined by a previous Magistrate need to re-examine them?,"No, the Magistrate who takes over does not need to re-examine the complainant and the witnesses.",
What should a Magistrate do if a complaint is made to them and they are not competent to take cognizance of the offence?,"If the complaint is in writing, return it for presentation to the proper Court with an endorsement to that effect; if the complaint is not in writing, direct the complainant to the proper Court.",
What should a Magistrate do with a written or non-written complaint if they are not competent to take cognizance of the offence?,"If the complaint is in writing, the Magistrate should return it for presentation to the proper Court with an endorsement to that effect; if the complaint is not in writing, they should direct the complainant to the proper Court.",
What can a Magistrate do upon receipt of a complaint of an offence they are authorised to take cognizance of?,"The Magistrate may postpone the issue of process against the accused, and either inquire into the case himself or direct an investigation to be made by a police officer or by such other person as he thinks fit.",
What actions can a Magistrate take after receiving a complaint of an offence they have authority over?,"The Magistrate may postpone the issue of process against the accused, and either inquire into the case himself or direct an investigation to be made by a police officer or by such other person as he thinks fit.",
When should a Magistrate postpone the issue of process?,In a case where the accused is residing at a place beyond the area in which the Magistrate exercises his jurisdiction.,
Where should the accused be residing for a Magistrate to postpone the issue of process?,The accused should be residing at a place beyond the area in which the Magistrate exercises his jurisdiction.,
What is the purpose of the Magistrate inquiring into the case or directing an investigation?,The purpose is for deciding whether or not there is sufficient ground.,
What is decided by the Magistrate inquiring into the case or directing an investigation?,Whether or not there is sufficient ground.,
When should a magistrate not direct an investigation according to the provided information?,"A magistrate should not direct an investigation when: a) the offence complained of is triable exclusively by the Court of Session, or b) the complaint has not been made by a Court, unless the complainant and the witnesses present (if any) have been examined on oath under section 200.",
Under what circumstances should a magistrate not direct an investigation according to the offence complained of and the nature of the complaint?,"A magistrate should not direct an investigation when: a) the offence complained of is triable exclusively by the Court of Session, or b) the complaint has not been made by a Court, unless the complainant and the witnesses present (if any) have been examined on oath under section 200.",
What can a magistrate do during an inquiry under sub-section (1)?,"During an inquiry under sub-section (1), the Magistrate may, if he thinks fit, take evidence of witnesses on oath.",
"Who can take evidence of witnesses on oath during an inquiry under sub-section (1), if they think it's fit?","The Magistrate can take evidence of witnesses on oath during an inquiry under sub-section (1), if he thinks it's fit.",
What should the magistrate do if the offence complained of is triable exclusively by the Court of Session?,"If it appears to the Magistrate that the offence complained of is triable exclusively by the Court of Session, he should call upon the complainant to produce all his witnesses and examine them on oath.",
What should the magistrate do upon realization that the offence complained of is only triable by the Court of Session?,The Magistrate should call upon the complainant to produce all his witnesses and examine them on oath.,
What powers does a person not being a police officer have during an investigation under sub-section (1)?,"If an investigation under sub-section (1) is made by a person not being a police officer, he has all the powers conferred by this Code on an officer in charge of a police station except the power to arrest without warrant.",
"What are the powers of a non-police officer conducting an investigation under sub-section (1) according to the Code, and what power is he not able to exercise?","A non-police officer conducting an investigation under sub-section (1) has all the powers conferred by this Code on an officer in charge of a police station, but he does not have the power to arrest without a warrant.",
What action does a Magistrate take if there is no sufficient ground for proceeding?,The Magistrate dismisses the complaint.,
What does a Magistrate do when he/she dismisses the complaint?,"If there is no sufficient ground for proceeding, the Magistrate dismisses the complaint.",
What should a Magistrate record when he dismisses a complaint?,The Magistrate should briefly record his reasons for dismissing the complaint.,
What should a Magistrate do after dismissing a complaint?,The Magistrate should briefly record his reasons for dismissing the complaint.,
What does the Magistrate do if there is sufficient ground for proceeding with a summons-case?,The Magistrate issues his summons for the attendance of the accused.,
"Who issues the summons for the attendance of the accused in a summons-case, if there is sufficient ground for proceeding?",The Magistrate does.,
What can a Magistrate do if there is sufficient ground for proceeding with a warrant-case?,"The Magistrate may issue a warrant, or, if he thinks fit, a summons, for causing the accused to be brought or to appear at a certain time before such Magistrate or some other Magistrate having jurisdiction.",
What action may a Magistrate take when there is sufficient ground for proceeding in a warrant-case?,"The Magistrate may issue a warrant, or, if he thinks fit, a summons, for causing the accused to be brought or to appear at a certain time before such Magistrate or some other Magistrate having jurisdiction.",
Can a summons or warrant be issued against the accused immediately?,No summons or warrant shall be issued against the accused under sub-section (1) until a list of the proceedings has been completed.,
What needs to be completed before a summons or warrant can be issued against the accused under sub-section (1)?,A list of the proceedings needs to be completed before a summons or warrant can be issued.,
What should accompany a summons or warrant issued under sub-section (1) in a proceeding instituted upon a written complaint?,A copy of such complaint.,
What should accompany a summons or warrant issued under sub-section (1) in a proceeding instituted under a specific condition?,A copy of such complaint.,
What is the consequence if process-fees or other fees are not paid within a reasonable time?,The Magistrate may dismiss the complaint.,
What action might a Magistrate take if process-fees or other fees are not paid within a reasonable time?,The Magistrate may dismiss the complaint.,
Does section 205 allow a Magistrate to dispense with the personal attendance of accused?,"Yes, if he sees reason so to do, he may permit the accused to appear by his pleader.",
Under what circumstances can a Magistrate permit the accused to appear by his pleader under section 205?,"If he sees reason so to do, he may allow the accused to dispense with their personal attendance.",
Can the Magistrate direct the personal attendance of the accused at any stage of the proceedings?,"Yes, the Magistrate inquiring into or trying the case may, in his discretion, direct the personal attendance of the accused.",
Who has the discretion to direct the personal attendance of the accused during a case inquiry or trial?,The Magistrate inquiring into or trying the case has the discretion to direct the personal attendance of the accused.,
What can a Magistrate do when taking cognizance of a petty offence?,"The Magistrate can issue summons to the accused requiring him either to appear in person or by pleader before the Magistrate on a specified date, or if the accused desires to plead guilty to the charge without appearing before the Magistrate, to transmit before the specified date, by post or by messenger to the Magistrate, the plea in writing and the amount of fine specified in the summons.",
What are the options a Magistrate can provide to an accused when taking cognizance of a petty offence?,"The Magistrate can provide the accused with the option to appear in person or by pleader on a specified date, or if the accused prefers, to plead guilty to the charge without appearing before the Magistrate. In the latter case, the accused is required to transmit the plea in writing and the amount of fine specified in the summons before the specified date, either by post or by messenger.",
What can the accused do if he desires to plead guilty without appearing before the Magistrate?,"He can transmit before the specified date, by post or by messenger to the Magistrate, the plea in writing and the amount of fine specified in the summons.",
How can an accused person transmit his plea of guilty and the amount of fine to the Magistrate without appearing before him?,"He can transmit before the specified date, by post or by messenger to the Magistrate, the plea in writing and the amount of fine specified in the summons.",
What if the accused desires to appear by pleader and to plead guilty to the charge?,"He can authorise, in writing, the pleader to plead guilty to the charge on his behalf and to pay the fine through such pleader.",
How can an accused person who desires to plead guilty through a pleader proceed?,"He can authorise, in writing, the pleader to plead guilty to the charge on his behalf and to pay the fine through such pleader.",
What is the exception for the Magistrate to issue summons in cases of petty offence?,"The exception is where the Magistrate, for reasons to be recorded in writing, is of a contrary opinion.",
When can the Magistrate issue summons in cases of petty offence contrary to the usual rule?,"The Magistrate can issue summons in cases of petty offence contrary to the usual rule when, for reasons to be recorded in writing, he is of a contrary opinion.",
What is the maximum amount specified in the summons according to the text?,One thousand rupees,
"According to the text, what is the summons specifying an amount of one thousand rupees as the maximum?",Yes,
What is the definition of 'petty offence' in the context of this section?,"Any offence punishable only with fine not exceeding one thousand rupees, but does not include any offence so punishable under the Motor Vehicles Act, 1939, or under any other law which provides for convicting the accused person in his absence on a plea of guilty.",
What type of offences are not included in a petty offence punishable only with a fine not exceeding one thousand rupees?,"Any offence punishable under the Motor Vehicles Act, 1939, or under any other law which provides for convicting the accused person in his absence on a plea of guilty are not included in a petty offence.",
What powers can the State Government confer to a Magistrate according to sub-section (1)?,"The State Government may empower any Magistrate to exercise the powers in relation to any offence which is compoundable under section 320 or any offence punishable with imprisonment for a term not exceeding three months, or with fine, or with both where the Magistrate is of opinion that, having regard to the facts and circumstances of the case, the imposition of fine only would meet the ends of justice.",
"What offences can a Magistrate be empowered by the State Government to exercise powers over, according to sub-section (1), and under what conditions?","The State Government can empower any Magistrate to exercise powers over any offence which is compoundable under section 320 or any offence punishable with imprisonment for a term not exceeding three months, or with fine, or with both. This is applicable where the Magistrate is of the opinion that, considering the facts and circumstances of the case, the imposition of fine only would meet the ends of justice.",
What should be supplied to the accused according to section 207?,Copy of police report and other documents.,
"According to section 207, what does the accused receive?",Copy of police report and other documents.,
What must the Magistrate furnish to the accused?,"The Magistrate must furnish a copy of the police report, the first information report recorded under section 154, the statements recorded under sub-section (3) of section 161 of all persons whom the prosecution proposes to examine as its witnesses, the confessions and statements, if any, recorded under section 164, and any other document or relevant extract thereof forwarded to the Magistrate with the police report under sub-section (5) of section 173.",
"What does a copy of the police report, the first information report recorded under section 154, the statements recorded under sub-section (3) of section 161 of all persons whom the prosecution proposes to examine as its witnesses, the confessions and statements, if any, recorded under section 164, and any other document or relevant extract thereof forwarded to the Magistrate with the police report under sub-section (5) of section 173 refer to in legal proceedings?",These refer to the documents that the Magistrate must furnish to the accused.,
Are there any exclusions to what the accused is provided?,"Yes, any part in regard to which a request for such exclusion has been made by the police officer under sub-section (6) of section 173 is excluded.",
What is excluded from what the accused is provided if a request for such exclusion has been made by the police officer under sub-section (6) of section 173?,Any part in regard to which the exclusion request has been made is excluded.,
Can the Magistrate provide other documents to the accused?,"Yes, any other document or relevant extract thereof forwarded to the Magistrate with the police report under sub-section (5) of section 173 can be provided.",
Under what condition can the Magistrate provide other documents or relevant extracts to the accused?,The Magistrate can provide other documents or relevant extracts to the accused when they are forwarded to the Magistrate with the police report under sub-section (5) of section 173.,
Are these documents provided to the accused free of cost?,"Yes, these documents are provided to the accused free of cost.",
Are the accused provided with these documents without any charges?,"Yes, the accused are provided with these documents free of cost.",
What can the Magistrate direct in considering the reasons given by the police officer for the request?,"The Magistrate can direct that a copy of that part of the statement or of such portion thereof as the Magistrate thinks proper, shall be furnished to the accused",
What can the Magistrate do with a statement or portion thereof provided by a police officer in response to a request?,"The Magistrate can direct that a copy of that part of the statement or of such portion thereof as the Magistrate thinks proper, shall be furnished to the accused",
What can the Magistrate do if he is satisfied that any document referred to in clause (v) is voluminous?,He can direct that the accused will only be allowed to inspect it either personally or through pleader in Court,
Who can the Magistrate allow to inspect a document referred to in clause (v) if it is voluminous and he is satisfied?,"The accused, either personally or through pleader in Court",
What should the Magistrate do in a case instituted otherwise than on a police report if the offence is triable exclusively by the Court of Session?,"The Magistrate shall without delay furnish to the accused, free of cost, a copy of each of the following the statements recorded under section 204",
"What is provided to the accused, free of cost, by the Magistrate in a case instituted otherwise than on a police report if the offence is triable exclusively by the Court of Session?",The Magistrate furnishes a copy of each of the following the statements recorded under section 204 without delay.,
Who is examined under section 200 or section 202?,All persons examined by the Magistrate.,
Who are all persons examined by the Magistrate?,They are examined under section 200 or section 202.,
What is recorded under section 161 or section 164?,"The statements and confessions, if any.",
"Where are the statements and confessions, if any, recorded?",Under section 161 or section 164.,
What can the Magistrate do if a document is voluminous?,"If any such document is voluminous, the Magistrate can direct that the accused will only be allowed to inspect it either personally or through a pleader in Court.",
Who can inspect a voluminous document in Court if directed by the Magistrate?,"The accused, either personally or through a pleader, can inspect a voluminous document in Court if directed by the Magistrate.",
What happens when the offence is triable exclusively by the Court of Session?,"If the offence is triable exclusively by the Court of Session, the Magistrate shall commit the case to the Court of Session after complying with the provisions of section 207 or section 208, as the case may be.",
What will the Magistrate do if the offence is triable exclusively by the Court of Session?,"If the offence is triable exclusively by the Court of Session, the Magistrate shall commit the case to the Court of Session after complying with the provisions of section 207 or section 208, as the case may be.",
Who appears or is brought before the Magistrate in a case instituted on a police report or otherwise?,The accused.,
Who is the individual that is brought before the Magistrate in a case instituted on a police report or otherwise?,The accused.,
"What is to be done according to clause (a) in section 209 of the Code of Criminal Procedure, 1973?",The accused is to be remanded to custody until such commitment has been made.,
"According to the Code of Criminal Procedure, 1973, what happens to the accused as per clause (a) in section 209?",The accused is to be remanded to custody until such commitment has been made.,
"What does clause (b) of section 209 of the Code of Criminal Procedure, 1973 state?","It states that the accused is to be remanded to custody during, and until the conclusion of, the trial.",
"Which clause of section 209 of the Code of Criminal Procedure, 1973 states that the accused is to be remanded to custody during, and until the conclusion of, the trial?",Clause (b),
What should be done according to clause (c) of section 209 of the Code of Criminal Procedure?,"The record of the case and the documents and articles, if any, which are to be produced in evidence, should be sent to the Court.",
"According to the Code of Criminal Procedure, where should the record of the case and the documents and articles, if any, which are to be produced in evidence, be sent to?","According to clause (c) of section 209 of the Code of Criminal Procedure, they should be sent to the Court.",
"What is the duty of the Public Prosecutor according to clause (d) of section 209 of the Code of Criminal Procedure, 1973?",The Public Prosecutor should be notified of the commitment of the case to the Court of Session.,
"Who should be notified of the commitment of the case to the Court of Session according to clause (d) of section 209 of the Code of Criminal Procedure, 1973?",The Public Prosecutor,
"What is the state amendment for Gujarat in section 209 of the Code of Criminal Procedure, 1973?","For clause (a), the following clause shall be substituted: Commit the case, after complying with the provisions of section 207 or section 208, as the case may be, to the Court of Session and, subject to the provisions of this Code relating to bail, remand the accused to custody until such commitment has been made.",
"What is the substitute clause for clause (a) in section 209 of the Code of Criminal Procedure, 1973 for the state of Gujarat?","The substitute clause for clause (a) is: Commit the case, after complying with the provisions of section 207 or section 208, as the case may be, to the Court of Session and, subject to the provisions of this Code relating to bail, remand the accused to custody until such commitment has been made.",
"What is the Gujarat Act 30 of 1976, s. 2?","It is the act that made the amendment to section 209 of the Code of Criminal Procedure, 1973 in its application to the State of Gujarat.",
"Which act made the amendment to section 209 of the Code of Criminal Procedure, 1973 in its application to the State of Gujarat?","The Gujarat Act 30 of 1976, s. 2",
"What is the procedure in section 210 of the Code of Criminal Procedure, 1973?","The text does not provide information on the procedure to be followed according to section 210 of the Code of Criminal Procedure, 1973.",
"Does the text provide information on the procedure to be followed according to section 210 of the Code of Criminal Procedure, 1973?","No, the text does not provide information on the procedure to be followed according to section 210 of the Code of Criminal Procedure, 1973.",
What should a Magistrate do when it appears that an investigation by the police is in progress in relation to the offence which is the subject-matter of the inquiry or trial held by him?,The Magistrate should stay the proceedings of such inquiry or trial and call for a report on the matter from the police officer conducting the investigation.,
What is the procedure for a Magistrate when a police officer is conducting an investigation related to the offence being examined in the Magistrate's inquiry or trial?,The Magistrate should stay the proceedings of such inquiry or trial and call for a report on the matter from the police officer conducting the investigation.,
What should a Magistrate do if a report is made by the investigating police officer under section 173?,"If such a report is made and cognizance of any offence is taken by the Magistrate against any person who is an accused in the complaint case, the Magistrate shall inquire into or try together the complaint case and the case arising out of the police report as if both the cases were instituted on a police report.",
What happens when a report is made by the investigating police officer under section 173 and cognizance of any offence is taken by the Magistrate against any person who is an accused in the complaint case?,The Magistrate shall inquire into or try together the complaint case and the case arising out of the police report as if both the cases were instituted on a police report.,
What happens when a case is instituted otherwise than on a police report?,This is referred to as a complaint case.,
What is the term used to refer to a case that is instituted otherwise than on a police report?,This is referred to as a complaint case.,
What happens if the police report does not relate to any accused in the complaint case?,"If the police report does not relate to any accused in the complaint case, the Magistrate shall proceed with the inquiry or trial, which was stayed by him, in accordance with the provisions of this Code.",
What does the Magistrate do if the police report does not relate to any accused in the complaint case?,"If the police report does not relate to any accused in the complaint case, the Magistrate shall proceed with the inquiry or trial, which was stayed by him, in accordance with the provisions of this Code.",
What happens if the Magistrate does not take cognizance of any offence on the police report?,"If the Magistrate does not take cognizance of any offence on the police report, he shall proceed with the inquiry or trial, which was stayed by him, in accordance with the provisions of this Code.",
What does the Magistrate do if he does not take cognizance of any offence on the police report?,"If the Magistrate does not take cognizance of any offence on the police report, he shall proceed with the inquiry or trial, which was stayed by him, in accordance with the provisions of this Code.",
What should every charge under this code state?,Every charge under this code should state the offence with which the accused is charged.,
What should be stated in every charge under this code for the accused?,The offence with which the accused is charged should be stated in every charge under this code.,
How can an offence be described in the charge if the law gives it a specific name?,"If the law which creates the offence gives it any specific name, the offence may be described in the charge by that name only.",
What is the method to describe an offence in the charge when the law that created the offence gives it a specific name?,The offence may be described in the charge by that specific name only.,
What should be stated in the charge if the law does not give the offence a specific name?,"If the law which creates the offence does not give it any specific name, so much of the definition of the offence must be stated as to give the accused notice of the matter with which he is charged.",
"What should be stated in the charge if the law creating the offence does not give it a specific name, to ensure the accused is aware of the matter they are being charged with?",So much of the definition of the offence must be stated as to give the accused notice of the matter with which he is charged.,
What should be mentioned in the charge regarding the law and section?,The law and section of the law against which the offence is said to have been committed should be mentioned in the charge.,
What should be mentioned in the charge regarding the offence committed?,The law and section of the law against which the offence is said to have been committed should be mentioned in the charge.,
What is equivalent to a statement that every legal condition required?,The fact that the charge is made is equivalent to a statement that every legal condition required.,
What does the fact that the charge is made signify?,It's equivalent to a statement that every legal condition required.,
In what language should the charge be written?,The charge should be written in the language of the Court.,
Where should the charge be written in the language of the Court?,The charge should be written in the language of the Court in legal documents.,
What happens if an accused has been previously convicted of any offence?,"If the accused has been previously convicted of any offence, they are liable, by reason of such previous conviction, to enhanced punishment, or to punishment of a different kind, for a subsequent offence.",
"What does it mean for an accused person who has been previously convicted of any offence, in terms of punishment for a subsequent offence?","If the accused has been previously convicted of any offence, they are liable, by reason of such previous conviction, to enhanced punishment, or to punishment of a different kind, for a subsequent offence.",
What is the protocol if it's intended to prove a previous conviction for the purpose of affecting the punishment for a subsequent offence?,"The fact, date and place of the previous conviction should be stated in the charge. If such statement has been omitted, the Court may add it at any time before sentence is passed.",
"What information should be stated in the charge to prove a previous conviction for the purpose of affecting the punishment for a subsequent offence, and when can the Court add this information if it was initially omitted?","The fact, date and place of the previous conviction should be stated in the charge. If such statement has been omitted, the Court may add it at any time before sentence is passed.",
What is the equivalent of a charge with the murder according to the Indian Penal Code?,A charge with the murder is equivalent to a statement that the accused's act fell within the definition of murder given in sections 299 and 300 of the Indian Penal Code; that it did not fall within any of the general exceptions of the said Code.,
"What does it mean when it is stated that the accused's act fell within the definition of murder given in sections 299 and 300 of the Indian Penal Code, and that it did not fall within any of the general exceptions of the said Code?",It means the accused is charged with murder according to the Indian Penal Code.,
What is A charged with under section 326 of the Indian Penal Code?,A is charged with voluntarily causing grievous hurt to B by means of an instrument for shooting.,
Who is accused of voluntarily causing grievous hurt to B by means of an instrument for shooting under the Indian Penal Code?,A is accused of this crime under section 326 of the Indian Penal Code.,
What does the case equivalent to when A is charged with voluntarily causing grievous hurt by means of an instrument for shooting?,"This is equivalent to a statement that the case was not provided for by section 335 of the said Code, and that the general exceptions did not apply to it.",
"What does it mean when a case, where A is charged with voluntarily causing grievous hurt by means of an instrument for shooting, was not provided for by section 335 of the said Code and the general exceptions did not apply to it?",This is equivalent to a statement that A is charged with voluntarily causing grievous hurt by means of an instrument for shooting.,
What crimes is A accused of?,"A is accused of murder, cheating, theft, extortion, adultery or criminal intimidation, or using a false property-mark.",
"Who is accused of murder, cheating, theft, extortion, adultery or criminal intimidation, or using a false property-mark?",A is accused of these crimes.,
How can the charge against A be stated?,"The charge may state that A committed murder, or cheating, or theft, or extortion, or adultery, or criminal intimidation, or that he used a false property-mark, without reference to the definitions, of those crimes contained in the Indian Penal Code (45 of 1860); but the sections under which the offence is punishable must, in each instance be referred to in the charge.",
"What information must a charge contain if A is accused of committing murder, cheating, theft, extortion, adultery, or criminal intimidation, or if he used a false property-mark, according to the Indian Penal Code (45 of 1860)?","The charge may state that A committed any of these crimes without reference to the definitions, but the sections under which the offence is punishable must, in each instance be referred to in the charge.",
What is the maximum time period between the first and last date of an offence according to section 219?,The maximum time period should not exceed one year.,
What is the maximum duration that should not be exceeded between the first and last date of an offence as per any law?,"According to section 219, the maximum time period should not exceed one year.",
When must the manner of committing an offence be stated according to section 213?,The manner of committing an offence must be stated when the particulars mentioned in sections 211 and 212 do not give the accused sufficient notice of the matter with which he is charged.,
When should the particulars of an offence be stated according to sections 211 and 212 to give the accused sufficient notice of the matter with which he is charged?,The particulars of an offence should be stated according to sections 211 and 212 when the manner of committing the offence isn't clear as per section 213.,
In which cases does the charge not need to set out the manner of the offence?,The charge need not set out the manner of the offence when A is accused of the theft of a certain article at a certain time and place.,
"When A is accused of the theft of a certain article at a certain time and place, is it necessary to set out the manner of the offence in the charge?","No, in this case, the charge need not set out the manner of the offence.",
When does the charge need to set out the manner of the offence?,The charge must set out the manner of the offence when A is accused of cheating B at a given time and place or when A is accused of giving false evidence at a given time and place.,
"Who must the charge set out the manner of the offence for, if they are accused of cheating or giving false evidence at a given time and place?","The charge must set out the manner of the offence for A, if A is accused of cheating B or giving false evidence at a given time and place.",
What must the charge set out when A is accused of giving false evidence?,The charge must set out that portion of the evidence given by A which is alleged to be false.,
What portion of the evidence is included in the charge when A is accused of giving false evidence?,The charge includes that portion of the evidence given by A which is alleged to be false.,
"What must the charge set out when A is accused of obstructing B, a public servant, in the discharge of his public functions?",The charge must set out the manner in which A obstructed B in the discharge of his functions.,
"What should the charge set out if A is accused of obstructing a public servant, B, in the discharge of his functions?",The charge should set out the manner in which A obstructed B in the discharge of his functions.,
What is not necessary to state in the charge when A is accused of the murder of B?,The charge need not state the manner in which A murdered B.,
What information does the charge not need to include when A is accused of the murder of B?,The charge does not need to include the manner in which A murdered B.,
What should the charge set out when A is accused of disobeying a direction of the law with intent to save B from punishment?,The charge must set out the disobedience charged and the law infringed.,
What should the charge include when A is accused of a legal disobedience intended to save B from punishment?,The charge must set out the disobedience charged and the law infringed.,
How are words used in describing an offence deemed by law?,Words used in describing an offence shall be deemed to have been used in the sense attached to them respectively by the law under which such offence is punishable.,
In what sense are words used when describing an offence according to law?,Words used in describing an offence shall be deemed to have been used in the sense attached to them respectively by the law under which such offence is punishable.,
What is the effect of errors in stating the offence or the particulars required to be stated in the charge?,"No error in stating either the offence or the particulars required to be stated in the charge, and no omission to state the offence or those particulars, shall be regarded at any stage of the case as material, unless the accused wa",
Are errors or omissions in stating the offence or the particulars required to be stated in the charge regarded as material at any stage of the case?,"No, no error in stating either the offence or the particulars required to be stated in the charge, and no omission to state the offence or those particulars, shall be regarded at any stage of the case as material, unless the accused wa",
What is A charged with under section 242 of the Indian Penal Code (45 of 1860)?,"A is charged with having been in possession of counterfeit coin, having known at the time when he became possessed thereof that such coin was counterfeit.",
"Who is charged with having been in possession of counterfeit coin, having known at the time when he became possessed thereof that such coin was counterfeit under section 242 of the Indian Penal Code (45 of 1860)?",A is charged with this offence.,
What does the court infer if A defends himself and the manner of the cheating is not set out in the charge?,The Court may infer from this that the omission to set out the manner of the cheating is not material.,
What may the court infer when the omission to set out the manner of the cheating is not material?,The court may infer that A defends himself and the manner of the cheating is not set out in the charge.,
What happens if the manner in which A cheated B is not set out in the charge and there were many transactions between A and B?,A had no means of knowing to which of them the charge referred.,
